route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
9011001057900000,1,33010000129529854,,1,1
9011001057900000,1,33010000129529956,,1,1
9011001057900000,1,33010000129530058,,1,1
9011001057900000,1,33010000129530313,,1,1
9011001057900000,1,33010000129530772,,1,1
9011001057900000,2,33010000129531078,,1,1
9011001057900000,2,33010000129531333,,1,1
9011001057900000,1,33010000129529650,,1,1
9011001057900000,1,33010000129529701,,1,1
9011001057900000,1,33010000129529752,,1,1
9011001057900000,1,33010000129529803,,1,1
9011001057900000,1,33010000129530109,,1,1
9011001057900000,1,33010000129530415,,1,1
9011001057900000,1,33010000129530517,,1,1
9011001057900000,1,33010000129530568,,1,1
9011001057900000,1,33010000129530721,,1,1
9011001057900000,1,33010000129530823,,1,1
9011001057900000,2,33010000129530874,,1,1
9011001057900000,2,33010000129530976,,1,1
9011001057900000,2,33010000129531129,,1,1
9011001057900000,2,33010000129531282,,1,1
9011001057900000,2,33010000129531689,,1,1
9011001057900000,2,33010000129531740,,1,1
9011001057900000,1,33010000129529905,,1,1
9011001057900000,1,33010000129530160,,1,1
9011001057900000,1,33010000129530211,,1,1
9011001057900000,1,33010000129530466,,1,1
9011001057900000,1,33010000129530619,,1,1
9011001057900000,2,33010000129530925,,1,1
9011001057900000,2,33010000129531384,,1,1
9011001057900000,2,33010000129531587,,1,1
9011001057900000,1,33010000129530007,,1,1
9011001057900000,1,33010000129530262,,1,1
9011001057900000,1,33010000129530364,,1,1
9011001057900000,1,33010000129530670,,1,1
9011001057900000,2,33010000129531027,,1,1
9011001057900000,2,33010000129531180,,1,1
9011001057900000,2,33010000129531231,,1,1
9011001057900000,2,33010000129531434,,1,1
9011001057900000,2,33010000129531485,,1,1
9011001057900000,2,33010000129531536,,1,1
9011001057900000,2,33010000129531638,,1,1
9011001057900000,1,33010000129531829,,1,1
9011001057900000,1,33010000131527608,,0,2
9011001057900000,1,33010000131527657,,0,2
9011001057900000,1,33010000131527902,,0,2
9011001057900000,2,33010000131528441,,0,2
9011001057900000,2,33010000131528686,,0,2
9011001057900000,2,33010000131528735,,0,2
9011001057900000,2,33010000131528833,,0,2
9011001057900000,2,33010000131528980,,0,2
9011001057900000,1,33010000131527559,,0,2
9011001057900000,1,33010000131527804,,0,2
9011001057900000,1,33010000131527951,,0,2
9011001057900000,1,33010000131528049,,0,2
9011001057900000,1,33010000131528098,,0,2
9011001057900000,1,33010000131528196,,0,2
9011001057900000,2,33010000131528343,,0,2
9011001057900000,2,33010000131528588,,0,2
9011001057900000,2,33010000131529208,,0,2
9011001057900000,1,33010000131529310,,0,2
9011001057900000,1,33010000131529604,,0,2
9011001057900000,1,33010000131528000,,0,2
9011001057900000,1,33010000131528147,,0,2
