service_id,date,exception_type
1,20200210,1
1,20200211,1
1,20200212,1
1,20200213,1
1,20200214,1
1,20200217,1
1,20200218,1
1,20200219,1
1,20200220,1
1,20200221,1
1,20200224,1
1,20200225,1
1,20200226,1
1,20200227,1
1,20200228,1
1,20200302,1
1,20200303,1
1,20200304,1
1,20200305,1
1,20200306,1
1,20200309,1
1,20200310,1
1,20200311,1
1,20200312,1
1,20200313,1
1,20200316,1
1,20200317,1
1,20200318,1
1,20200319,1
1,20200320,1
1,20200323,1
1,20200324,1
1,20200325,1
1,20200326,1
1,20200327,1
1,20200330,1
1,20200331,1
1,20200401,1
1,20200402,1
1,20200403,1
1,20200406,1
1,20200407,1
1,20200408,1
1,20200409,1
1,20200414,1
1,20200415,1
1,20200416,1
1,20200417,1
1,20200420,1
1,20200421,1
1,20200422,1
1,20200423,1
1,20200424,1
1,20200427,1
1,20200428,1
1,20200429,1
1,20200430,1
1,20200504,1
1,20200505,1
1,20200506,1
1,20200507,1
1,20200508,1
1,20200511,1
1,20200512,1
1,20200513,1
1,20200514,1
1,20200515,1
1,20200518,1
1,20200519,1
1,20200520,1
1,20200522,1
1,20200525,1
1,20200526,1
1,20200527,1
1,20200528,1
1,20200529,1
1,20200601,1
1,20200602,1
1,20200603,1
1,20200604,1
1,20200605,1
1,20200608,1
1,20200609,1
1,20200610,1
1,20200611,1
1,20200612,1
2,20200209,1
2,20200215,1
2,20200216,1
2,20200222,1
2,20200223,1
2,20200229,1
2,20200301,1
2,20200307,1
2,20200308,1
2,20200314,1
2,20200315,1
2,20200321,1
2,20200322,1
2,20200328,1
2,20200329,1
2,20200404,1
2,20200405,1
2,20200410,1
2,20200411,1
2,20200412,1
2,20200413,1
2,20200418,1
2,20200419,1
2,20200425,1
2,20200426,1
2,20200501,1
2,20200502,1
2,20200503,1
2,20200509,1
2,20200510,1
2,20200516,1
2,20200517,1
2,20200521,1
2,20200523,1
2,20200524,1
2,20200530,1
2,20200531,1
2,20200606,1
2,20200607,1
2,20200613,1
2,20200614,1
3,20200209,1
3,20200210,1
3,20200211,1
3,20200212,1
3,20200213,1
3,20200216,1
3,20200217,1
3,20200218,1
3,20200219,1
3,20200220,1
3,20200223,1
3,20200224,1
3,20200225,1
3,20200226,1
3,20200227,1
3,20200301,1
3,20200302,1
3,20200303,1
3,20200304,1
3,20200305,1
3,20200308,1
3,20200309,1
3,20200310,1
3,20200311,1
3,20200312,1
3,20200315,1
3,20200316,1
3,20200317,1
3,20200318,1
3,20200319,1
3,20200322,1
3,20200323,1
3,20200324,1
3,20200325,1
3,20200326,1
3,20200329,1
3,20200330,1
3,20200331,1
3,20200401,1
3,20200402,1
3,20200405,1
3,20200406,1
3,20200407,1
3,20200408,1
3,20200413,1
3,20200414,1
3,20200415,1
3,20200416,1
3,20200419,1
3,20200420,1
3,20200421,1
3,20200422,1
3,20200423,1
3,20200426,1
3,20200427,1
3,20200428,1
3,20200429,1
3,20200503,1
3,20200504,1
3,20200505,1
3,20200506,1
3,20200507,1
3,20200510,1
3,20200511,1
3,20200512,1
3,20200513,1
3,20200514,1
3,20200517,1
3,20200518,1
3,20200519,1
3,20200521,1
3,20200524,1
3,20200525,1
3,20200526,1
3,20200527,1
3,20200528,1
3,20200531,1
3,20200601,1
3,20200602,1
3,20200603,1
3,20200604,1
3,20200607,1
3,20200608,1
3,20200609,1
3,20200610,1
3,20200611,1
3,20200614,1
4,20200209,1
4,20200210,1
4,20200211,1
4,20200212,1
4,20200213,1
4,20200214,1
4,20200215,1
4,20200216,1
4,20200217,1
4,20200218,1
4,20200219,1
4,20200220,1
4,20200221,1
4,20200222,1
4,20200223,1
4,20200224,1
4,20200225,1
4,20200226,1
4,20200227,1
4,20200228,1
4,20200229,1
4,20200301,1
4,20200302,1
4,20200303,1
4,20200304,1
4,20200305,1
4,20200306,1
4,20200307,1
4,20200308,1
4,20200309,1
4,20200310,1
4,20200311,1
4,20200312,1
4,20200313,1
4,20200314,1
4,20200315,1
4,20200316,1
4,20200317,1
4,20200318,1
4,20200319,1
4,20200320,1
4,20200321,1
4,20200322,1
4,20200323,1
4,20200324,1
4,20200325,1
4,20200326,1
4,20200327,1
4,20200328,1
4,20200329,1
4,20200330,1
4,20200331,1
4,20200401,1
4,20200402,1
4,20200403,1
4,20200404,1
4,20200405,1
4,20200406,1
4,20200407,1
4,20200408,1
4,20200409,1
4,20200410,1
4,20200411,1
4,20200412,1
4,20200413,1
4,20200414,1
4,20200415,1
4,20200416,1
4,20200417,1
4,20200418,1
4,20200419,1
4,20200420,1
4,20200421,1
4,20200422,1
4,20200423,1
4,20200424,1
4,20200425,1
4,20200426,1
4,20200427,1
4,20200428,1
4,20200429,1
4,20200430,1
4,20200501,1
4,20200502,1
4,20200503,1
4,20200504,1
4,20200505,1
4,20200506,1
4,20200507,1
4,20200508,1
4,20200509,1
4,20200510,1
4,20200511,1
4,20200512,1
4,20200513,1
4,20200514,1
4,20200515,1
4,20200516,1
4,20200517,1
4,20200518,1
4,20200519,1
4,20200520,1
4,20200521,1
4,20200522,1
4,20200523,1
4,20200524,1
4,20200525,1
4,20200526,1
4,20200527,1
4,20200528,1
4,20200529,1
4,20200530,1
4,20200531,1
4,20200601,1
4,20200602,1
4,20200603,1
4,20200604,1
4,20200605,1
4,20200606,1
4,20200607,1
4,20200608,1
4,20200609,1
4,20200610,1
4,20200611,1
4,20200612,1
4,20200613,1
4,20200614,1
5,20200214,1
5,20200215,1
5,20200221,1
5,20200222,1
5,20200228,1
5,20200229,1
5,20200306,1
5,20200307,1
5,20200313,1
5,20200314,1
5,20200320,1
5,20200321,1
5,20200327,1
5,20200328,1
5,20200403,1
5,20200404,1
5,20200409,1
5,20200410,1
5,20200411,1
5,20200412,1
5,20200417,1
5,20200418,1
5,20200424,1
5,20200425,1
5,20200430,1
5,20200501,1
5,20200502,1
5,20200508,1
5,20200509,1
5,20200515,1
5,20200516,1
5,20200520,1
5,20200522,1
5,20200523,1
5,20200529,1
5,20200530,1
5,20200605,1
5,20200606,1
5,20200612,1
5,20200613,1
6,20200210,1
6,20200211,1
6,20200212,1
6,20200213,1
6,20200214,1
6,20200217,1
6,20200218,1
6,20200219,1
6,20200220,1
6,20200221,1
6,20200224,1
6,20200225,1
6,20200226,1
6,20200227,1
6,20200228,1
6,20200302,1
6,20200303,1
6,20200304,1
6,20200305,1
6,20200306,1
6,20200309,1
6,20200310,1
6,20200311,1
6,20200312,1
6,20200313,1
6,20200316,1
6,20200317,1
6,20200318,1
6,20200319,1
6,20200320,1
6,20200323,1
6,20200324,1
6,20200325,1
6,20200326,1
6,20200327,1
6,20200330,1
6,20200331,1
6,20200401,1
6,20200402,1
6,20200403,1
6,20200406,1
6,20200407,1
6,20200408,1
6,20200409,1
6,20200414,1
6,20200415,1
6,20200416,1
6,20200417,1
6,20200420,1
6,20200421,1
6,20200422,1
6,20200423,1
6,20200424,1
6,20200427,1
6,20200428,1
6,20200429,1
6,20200430,1
6,20200504,1
6,20200505,1
6,20200506,1
6,20200507,1
6,20200508,1
6,20200511,1
6,20200512,1
6,20200513,1
6,20200514,1
6,20200515,1
6,20200518,1
6,20200519,1
6,20200520,1
6,20200522,1
6,20200525,1
6,20200526,1
6,20200527,1
6,20200528,1
6,20200529,1
6,20200601,1
6,20200602,1
6,20200603,1
6,20200604,1
6,20200605,1
6,20200608,1
6,20200609,1
6,20200610,1
6,20200611,1
6,20200612,1
6,20200615,1
6,20200616,1
6,20200617,1
6,20200618,1
7,20200209,1
7,20200210,1
7,20200211,1
7,20200212,1
7,20200213,1
7,20200214,1
7,20200215,1
7,20200216,1
7,20200217,1
7,20200218,1
7,20200219,1
7,20200220,1
7,20200221,1
7,20200222,1
7,20200223,1
7,20200224,1
7,20200225,1
7,20200226,1
7,20200227,1
7,20200228,1
7,20200229,1
7,20200301,1
7,20200302,1
7,20200303,1
7,20200304,1
7,20200305,1
7,20200306,1
7,20200307,1
7,20200308,1
7,20200309,1
7,20200310,1
7,20200311,1
7,20200312,1
7,20200313,1
7,20200314,1
7,20200315,1
7,20200316,1
7,20200317,1
7,20200318,1
7,20200319,1
7,20200320,1
7,20200321,1
7,20200322,1
7,20200323,1
7,20200324,1
7,20200325,1
7,20200326,1
7,20200327,1
7,20200328,1
7,20200329,1
7,20200330,1
7,20200331,1
7,20200401,1
7,20200402,1
7,20200403,1
7,20200404,1
7,20200405,1
7,20200406,1
7,20200407,1
7,20200408,1
7,20200409,1
7,20200410,1
7,20200411,1
7,20200412,1
7,20200413,1
7,20200414,1
7,20200415,1
